Circuit_Type,No_Of_Transistors,Activity_Factor,Capacitance,Leakage_current,Short_ckt_Current,Short_ckt_Power,Static_Power,Dynamic_Power
OR,6,0.14,8.1992869e-07,8.88e-09,2.0018e-08,2.0018e-08,8.88e-09,5.739501e-08
XNOR,10,0.768,9.137301e-07,1.8241e-08,2.129e-08,2.129e-08,1.8241e-08,3.5087236e-07
OR,6,0.933,2.1019294e-07,1.5314e-08,6.74e-09,6.74e-09,1.5314e-08,9.805501e-08
XNOR,10,0.948,5.4752044e-07,2.121e-09,2.1795e-08,2.1795e-08,2.121e-09,2.5952469e-07
AND,6,0.375,6.4052998e-07,1.598e-08,1.6387e-08,1.6387e-08,1.598e-08,1.2009937e-07
NAND,4,0.144,5.266092e-07,1.1979e-08,7.314e-09,7.314e-09,1.1979e-08,3.791586e-08
Inverter,2,0.523,4.3973563e-07,2.3371e-08,2.4684e-08,2.4684e-08,2.3371e-08,1.1499087e-07
OR,6,0.121,2.0005575e-07,7.304e-09,2.376e-08,2.376e-08,7.304e-09,1.210337e-08
OR,6,0.935,4.9333717e-07,1.8182e-08,1.4404e-08,1.4404e-08,1.8182e-08,2.3063513e-07
AND,6,0.192,4.0720268e-07,1.8298e-08,2.1096e-08,2.1096e-08,1.8298e-08,3.909146e-08
D Flip-Flop,18,0.26,7.9760773e-07,5.615e-09,6.611e-09,6.611e-09,5.615e-09,1.03689e-07
NOR,4,0.413,7.6596832e-07,2.259e-08,1.0459e-08,1.0459e-08,2.259e-08,1.5817246e-07
AND,6,0.389,1.4265869e-07,1.233e-08,4.681e-09,4.681e-09,1.233e-08,2.774712e-08
Mux,16,0.797,9.763386e-08,1.7004e-08,1.3051e-08,1.3051e-08,1.7004e-08,3.890709e-08
NOR,4,0.462,9.090724e-07,3.732e-09,1.245e-08,1.245e-08,3.732e-09,2.0999572e-07
Inverter,2,0.179,5.4015331e-07,6.519e-09,5.399e-09,5.399e-09,6.519e-09,4.834372e-08
NOR,4,0.275,8.5922293e-07,1.4694e-08,1.6853e-08,1.6853e-08,1.4694e-08,1.1814315e-07
D Flip-Flop,18,0.514,6.756961e-08,8.044e-09,3.033e-09,3.033e-09,8.044e-09,1.736539e-08
NOR,4,0.156,5.3125046e-07,1.2542e-08,1.636e-09,1.636e-09,1.2542e-08,4.143754e-08
Inverter,2,0.616,5.4403225e-07,9.413e-09,9.684e-09,9.684e-09,9.413e-09,1.6756193e-07
D Flip-Flop,18,0.57,8.6209501e-07,1.605e-08,1.0305e-08,1.0305e-08,1.605e-08,2.4569708e-07
OR,6,0.718,1.066339e-07,1.223e-08,8.062e-09,8.062e-09,1.223e-08,3.828157e-08
OR,6,0.938,2.4804111e-07,2.15e-10,6.523e-09,6.523e-09,2.15e-10,1.1633128e-07
XNOR,10,0.913,4.1247293e-07,1.6277e-08,8.536e-09,8.536e-09,1.6277e-08,1.8829389e-07
NOR,4,0.947,8.6718306e-07,1.0611e-08,4.168e-09,4.168e-09,1.0611e-08,4.1061118e-07
OR,6,0.252,9.3949448e-07,8.608e-09,1.0146e-08,1.0146e-08,8.608e-09,1.183763e-07
Inverter,2,0.14,9.9279737e-07,2.444e-09,2.2625e-08,2.2625e-08,2.444e-09,6.949582e-08
XOR,10,0.309,9.5960155e-07,5.587e-09,5.688e-09,5.688e-09,5.587e-09,1.4825844e-07
XOR,10,0.896,1.588234e-08,5.672e-09,1.7143e-08,1.7143e-08,5.672e-09,7.11529e-09
D Flip-Flop,18,0.972,5.723126e-08,2.3391e-08,3.63e-09,3.63e-09,2.3391e-08,2.781439e-08
OR,6,0.861,1.5613075e-07,1.087e-08,8.912e-09,8.912e-09,1.087e-08,6.721429e-08
OR,6,0.119,3.5537348e-07,1.147e-09,8.097e-09,8.097e-09,1.147e-09,2.114472e-08
XOR,10,0.948,8.3161885e-07,3.557e-09,2.3432e-08,2.3432e-08,3.557e-09,3.9418733e-07
OR,6,0.429,8.9372963e-07,2.068e-09,1.0757e-08,1.0757e-08,2.068e-09,1.9170501e-07
NOR,4,0.019,1.9496606e-07,1.4763e-08,1.7293e-08,1.7293e-08,1.4763e-08,1.85218e-09
Mux,16,0.448,6.2346751e-07,4.747e-09,1.5101e-08,1.5101e-08,4.747e-09,1.3965672e-07
NAND,4,0.056,9.1818837e-07,1.2514e-08,3.612e-09,3.612e-09,1.2514e-08,2.570927e-08
XNOR,10,0.548,4.6909442e-07,9.315e-09,2.3495e-08,2.3495e-08,9.315e-09,1.2853187e-07
D Flip-Flop,18,0.345,1.1250814e-07,2.0117e-08,8.712e-09,8.712e-09,2.0117e-08,1.940765e-08
Mux,16,0.479,4.6323551e-07,8.08e-09,1.214e-09,1.214e-09,8.08e-09,1.109449e-07
XOR,10,0.617,3.8203695e-07,1.1511e-08,7.581e-09,7.581e-09,1.1511e-08,1.178584e-07
OR,6,0.87,5.8188142e-07,1.806e-08,8.457e-09,8.457e-09,1.806e-08,2.5311842e-07
XNOR,10,0.665,4.442721e-07,1.089e-08,2.409e-09,2.409e-09,1.089e-08,1.4772047e-07
OR,6,0.44,2.717247e-08,1.9851e-08,1.5537e-08,1.5537e-08,1.9851e-08,5.97794e-09
Inverter,2,0.821,9.9405776e-07,1.6576e-08,8.734e-09,8.734e-09,1.6576e-08,4.0806071e-07
Inverter,2,0.907,5.4810484e-07,1.0322e-08,1.5765e-08,1.5765e-08,1.0322e-08,2.4856554e-07
XNOR,10,0.129,4.7889445e-07,1.2649e-08,2.68e-10,2.68e-10,1.2649e-08,3.088869e-08
XNOR,10,0.537,9.550712e-07,2.4183e-08,2.4553e-08,2.4553e-08,2.4183e-08,2.5643662e-07
XOR,10,0.292,1.6430176e-07,1.6574e-08,4.346e-09,4.346e-09,1.6574e-08,2.398806e-08
XNOR,10,0.057,1.9734523e-07,2.2634e-08,1.6517e-08,1.6517e-08,2.2634e-08,5.62434e-09
NOR,4,0.672,8.099346e-07,4.551e-09,1.7923e-08,1.7923e-08,4.551e-09,2.7213803e-07
OR,6,0.864,2.6822277e-07,1.2133e-08,4.373e-09,4.373e-09,1.2133e-08,1.1587224e-07
Mux,16,0.171,8.0123484e-07,2.2726e-08,2.882e-09,2.882e-09,2.2726e-08,6.850558e-08
AND,6,0.814,2.7881815e-07,8.133e-09,3.899e-09,3.899e-09,8.133e-09,1.1347899e-07
XNOR,10,0.855,4.285575e-08,2.4195e-08,6.246e-09,6.246e-09,2.4195e-08,1.832083e-08
D Flip-Flop,18,0.915,5.2184458e-07,2.517e-09,4.289e-09,4.289e-09,2.517e-09,2.387439e-07
Inverter,2,0.273,2.0471957e-07,2.2577e-08,1.6883e-08,1.6883e-08,2.2577e-08,2.794422e-08
NOR,4,0.905,7.6026783e-07,1.1186e-08,1.0579e-08,1.0579e-08,1.1186e-08,3.4402119e-07
AND,6,0.327,6.4478764e-07,1.936e-09,1.3491e-08,1.3491e-08,1.936e-09,1.0542278e-07
Mux,16,0.557,9.2436664e-07,2.2e-08,1.279e-09,1.279e-09,2.2e-08,2.5743611e-07
AND,6,0.06,7.8515847e-07,6.373e-09,2.1545e-08,2.1545e-08,6.373e-09,2.355475e-08
XNOR,10,0.053,1.889682e-07,6.54e-10,4.347e-09,4.347e-09,6.54e-10,5.00766e-09
XOR,10,0.723,8.0215665e-07,3.482e-09,9.068e-09,9.068e-09,3.482e-09,2.8997963e-07
Inverter,2,0.45,6.4531967e-07,1.6512e-08,1.89e-09,1.89e-09,1.6512e-08,1.4519693e-07
Inverter,2,0.264,6.7226213e-07,2.4448e-08,3.506e-09,3.506e-09,2.4448e-08,8.87386e-08
XOR,10,0.199,8.3394026e-07,2.875e-09,1.6678e-08,1.6678e-08,2.875e-09,8.297706e-08
OR,6,0.673,5.7808583e-07,1.1603e-08,1.7345e-08,1.7345e-08,1.1603e-08,1.9452588e-07
NAND,4,0.01,4.7134348e-07,4.598e-09,1.6956e-08,1.6956e-08,4.598e-09,2.35672e-09
NOR,4,0.808,6.4027463e-07,1.8651e-08,1.3848e-08,1.3848e-08,1.8651e-08,2.5867095e-07
Inverter,2,0.088,3.0497785e-07,3.04e-09,2.3818e-08,2.3818e-08,3.04e-09,1.341903e-08
D Flip-Flop,18,0.2,1.9077116e-07,6.072e-09,1.2729e-08,1.2729e-08,6.072e-09,1.907712e-08
Inverter,2,0.392,6.2042196e-07,4.991e-09,1.129e-08,1.129e-08,4.991e-09,1.216027e-07
AND,6,0.49,2.4150989e-07,1.3858e-08,6.264e-09,6.264e-09,1.3858e-08,5.916992e-08
Inverter,2,0.361,8.911596e-08,2.1842e-08,2.561e-09,2.561e-09,2.1842e-08,1.608543e-08
Inverter,2,0.328,1.054864e-08,1.2826e-08,1.3749e-08,1.3749e-08,1.2826e-08,1.72998e-09
NAND,4,0.964,6.1223621e-07,1.55e-09,7.941e-09,7.941e-09,1.55e-09,2.9509785e-07
NAND,4,0.645,3.685273e-07,1.4128e-08,1.3148e-08,1.3148e-08,1.4128e-08,1.1885005e-07
Mux,16,0.033,7.5478786e-07,1.9958e-08,5.232e-09,5.232e-09,1.9958e-08,1.2454e-08
OR,6,0.436,3.8142463e-07,3.391e-09,2.097e-08,2.097e-08,3.391e-09,8.315057e-08
D Flip-Flop,18,0.876,4.9114341e-07,1.911e-09,2.4992e-08,2.4992e-08,1.911e-09,2.1512081e-07
Inverter,2,0.308,4.1301412e-07,4.776e-09,8.128e-09,8.128e-09,4.776e-09,6.360417e-08
Inverter,2,0.104,6.5406904e-07,1.8678e-08,2.1074e-08,2.1074e-08,1.8678e-08,3.401159e-08
NOR,4,0.761,3.6257777e-07,1.4833e-08,2.1837e-08,2.1837e-08,1.4833e-08,1.3796084e-07
NAND,4,0.61,9.6412997e-07,1.3561e-08,2.4902e-08,2.4902e-08,1.3561e-08,2.9405964e-07
D Flip-Flop,18,0.575,9.3678552e-07,6.312e-09,8.634e-09,8.634e-09,6.312e-09,2.6932584e-07
Mux,16,0.063,8.4954762e-07,8.373e-09,1.8925e-08,1.8925e-08,8.373e-09,2.676075e-08
OR,6,0.149,9.2109727e-07,2.4151e-08,5.797e-09,5.797e-09,2.4151e-08,6.862175e-08
XOR,10,0.626,4.5464829e-07,6.092e-09,1.5657e-08,1.5657e-08,6.092e-09,1.4230491e-07
OR,6,0.216,5.4106609e-07,2.2551e-08,1.7651e-08,1.7651e-08,2.2551e-08,5.843514e-08
AND,6,0.509,7.4467167e-07,1.4555e-08,1.8554e-08,1.8554e-08,1.4555e-08,1.8951894e-07
Inverter,2,0.549,6.9918447e-07,3.17e-09,5.259e-09,5.259e-09,3.17e-09,1.9192614e-07
Mux,16,0.291,8.9177181e-07,1.1736e-08,2.1233e-08,2.1233e-08,1.1736e-08,1.297528e-07
AND,6,0.949,7.1916772e-07,2.3719e-08,1.0582e-08,1.0582e-08,2.3719e-08,3.4124508e-07
D Flip-Flop,18,0.844,9.9790586e-07,1.0522e-08,5.488e-09,5.488e-09,1.0522e-08,4.2111627e-07
XOR,10,0.725,3.5502074e-07,2.1598e-08,1.3609e-08,1.3609e-08,2.1598e-08,1.2869502e-07
NAND,4,0.087,8.3466776e-07,6.485e-09,2.1598e-08,2.1598e-08,6.485e-09,3.630805e-08
Mux,16,0.115,7.0065847e-07,1.4316e-08,2.418e-08,2.418e-08,1.4316e-08,4.028786e-08
Mux,16,0.498,6.9447258e-07,2.1112e-08,1.873e-08,1.873e-08,2.1112e-08,1.7292367e-07
Inverter,2,0.169,3.3257724e-07,2.3025e-08,2.4e-10,2.4e-10,2.3025e-08,2.810278e-08
XNOR,10,0.978,7.8774577e-07,1.2197e-08,3.454e-09,3.454e-09,1.2197e-08,3.8520768e-07
Mux,16,0.167,9.0137226e-07,1.6028e-08,1.999e-09,1.999e-09,1.6028e-08,7.526458e-08
NOR,4,0.493,2.2636298e-07,1.74e-10,2.62e-09,2.62e-09,1.74e-10,5.579847e-08
XOR,10,0.37,6.2924187e-07,6.405e-09,9.638e-09,9.638e-09,6.405e-09,1.1640975e-07
XOR,10,0.643,3.9821348e-07,7.04e-09,8.528e-09,8.528e-09,7.04e-09,1.2802563e-07
NOR,4,0.138,9.8965264e-07,2.428e-09,2.931e-09,2.931e-09,2.428e-09,6.828603e-08
NOR,4,0.436,4.8404449e-07,7.064e-09,2.2068e-08,2.2068e-08,7.064e-09,1.055217e-07
NOR,4,0.282,2.3603697e-07,8.096e-09,1.5424e-08,1.5424e-08,8.096e-09,3.328121e-08
XOR,10,0.889,3.8803905e-07,2.4222e-08,1.9932e-08,1.9932e-08,2.4222e-08,1.7248336e-07
OR,6,0.05,6.5730001e-07,1.6748e-08,9.352e-09,9.352e-09,1.6748e-08,1.64325e-08
XOR,10,0.915,8.532848e-08,1.0708e-08,1.0315e-08,1.0315e-08,1.0708e-08,3.903778e-08
XNOR,10,0.835,6.075659e-07,2.4703e-08,8.009e-09,8.009e-09,2.4703e-08,2.5365876e-07
Inverter,2,0.305,9.3191251e-07,3.915e-09,1.1017e-08,1.1017e-08,3.915e-09,1.4211666e-07
AND,6,0.791,8.5185916e-07,1.1954e-08,1.5298e-08,1.5298e-08,1.1954e-08,3.369103e-07
OR,6,0.041,7.69968e-08,1.6212e-08,1.2375e-08,1.2375e-08,1.6212e-08,1.57843e-09
NAND,4,0.967,9.9345598e-07,1.484e-09,2.0964e-08,2.0964e-08,1.484e-09,4.8033597e-07
AND,6,0.531,7.0173965e-07,1.7953e-08,2.2513e-08,2.2513e-08,1.7953e-08,1.8631188e-07
Inverter,2,0.31,1.7065802e-07,2.587e-09,1.1795e-08,1.1795e-08,2.587e-09,2.645199e-08
XNOR,10,0.369,2.229193e-08,3.593e-09,6.07e-09,6.07e-09,3.593e-09,4.11286e-09
XNOR,10,0.076,1.7956981e-07,4.076e-09,2.3635e-08,2.3635e-08,4.076e-09,6.82365e-09
NAND,4,0.989,8.3979416e-07,2.3229e-08,1.8402e-08,1.8402e-08,2.3229e-08,4.1527821e-07
OR,6,0.049,3.142293e-08,1.7113e-08,1.6039e-08,1.6039e-08,1.7113e-08,7.6986e-10
NOR,4,0.658,2.4081583e-07,1.642e-08,1.8661e-08,1.8661e-08,1.642e-08,7.922841e-08
OR,6,0.448,7.5973254e-07,1.3932e-08,1.992e-09,1.992e-09,1.3932e-08,1.7018009e-07
XNOR,10,0.949,5.9024943e-07,7.391e-09,1.784e-09,1.784e-09,7.391e-09,2.8007335e-07
XOR,10,0.254,7.8490835e-07,1.556e-08,3.913e-09,3.913e-09,1.556e-08,9.968336e-08
Inverter,2,0.537,7.48689e-07,1.0313e-08,3.772e-09,3.772e-09,1.0313e-08,2.01023e-07
NAND,4,0.488,6.009537e-08,3.721e-09,1.0575e-08,1.0575e-08,3.721e-09,1.466327e-08
Inverter,2,0.706,8.935863e-07,1.7271e-08,4.019e-09,4.019e-09,1.7271e-08,3.1543596e-07
D Flip-Flop,18,0.077,2.3476152e-07,3.327e-09,2.1378e-08,2.1378e-08,3.327e-09,9.03832e-09
D Flip-Flop,18,0.202,5.5785852e-07,4.848e-09,1.4495e-08,1.4495e-08,4.848e-09,5.634371e-08
OR,6,0.222,6.4784527e-07,2.0461e-08,9.27e-09,9.27e-09,2.0461e-08,7.191082e-08
XNOR,10,0.741,1.7694193e-07,1.6537e-08,1.834e-09,1.834e-09,1.6537e-08,6.555699e-08
XNOR,10,0.197,9.7646894e-07,1.5812e-08,1.4817e-08,1.4817e-08,1.5812e-08,9.618219e-08
NOR,4,0.578,4.932744e-07,1.0513e-08,3.002e-09,3.002e-09,1.0513e-08,1.425563e-07
NOR,4,0.223,6.706627e-08,9.967e-09,1.8606e-08,1.8606e-08,9.967e-09,7.47789e-09
NOR,4,0.863,9.3788942e-07,1.7288e-08,2.0089e-08,2.0089e-08,1.7288e-08,4.0469928e-07
XOR,10,0.943,5.9040516e-07,1.8526e-08,1.3645e-08,1.3645e-08,1.8526e-08,2.7837603e-07
AND,6,0.523,7.0220127e-07,1.2804e-08,3.825e-09,3.825e-09,1.2804e-08,1.8362563e-07
Mux,16,0.359,5.2992403e-07,2.4235e-08,1.9693e-08,1.9693e-08,2.4235e-08,9.512136e-08
AND,6,0.242,8.3639058e-07,2.3897e-08,7.765e-09,7.765e-09,2.3897e-08,1.0120326e-07
Inverter,2,0.059,4.280213e-08,1.0369e-08,5.644e-09,5.644e-09,1.0369e-08,1.26266e-09
AND,6,0.276,2.7569458e-07,2.0533e-08,1.1817e-08,1.1817e-08,2.0533e-08,3.804585e-08
XOR,10,0.658,4.7495187e-07,1.3627e-08,2.3074e-08,2.3074e-08,1.3627e-08,1.5625917e-07
Inverter,2,0.538,8.583758e-08,1.2843e-08,7.505e-09,7.505e-09,1.2843e-08,2.309031e-08
AND,6,0.945,7.088476e-07,1.469e-09,2.2649e-08,2.2649e-08,1.469e-09,3.3493049e-07
XOR,10,0.402,3.9972678e-07,1.4392e-08,1.436e-09,1.436e-09,1.4392e-08,8.034508e-08
Mux,16,0.697,2.7994131e-07,2.2524e-08,2.18e-09,2.18e-09,2.2524e-08,9.755955e-08
AND,6,0.494,1.334506e-08,1.9525e-08,1.7494e-08,1.7494e-08,1.9525e-08,3.29623e-09
XOR,10,0.517,7.2263201e-07,1.9679e-08,4.846e-09,4.846e-09,1.9679e-08,1.8680037e-07
NOR,4,0.275,8.3547122e-07,4.082e-09,7.984e-09,7.984e-09,4.082e-09,1.1487729e-07
XNOR,10,0.46,4.0109013e-07,9.025e-09,3.496e-09,3.496e-09,9.025e-09,9.225073e-08
NOR,4,0.476,5.685758e-07,5.907e-09,8.373e-09,8.373e-09,5.907e-09,1.3532104e-07
XNOR,10,0.71,2.3540976e-07,7.966e-09,7.083e-09,7.083e-09,7.966e-09,8.357046e-08
NAND,4,0.941,6.2597567e-07,1.4531e-08,1.8435e-08,1.8435e-08,1.4531e-08,2.9452155e-07
NAND,4,0.336,2.201608e-08,9.183e-09,1.758e-08,1.758e-08,9.183e-09,3.6987e-09
